Postcode,Description,Latitude,Longitude
SP4 8JL,SP4 8JL,51.225293,-1.782526
SM5 4EA,SM5 4EA,51.347429,-0.17107064
M2 2BE,M2 2BE,53.4809,-2.2408592
CR0 2SE,CR0 2SE,51.384057,-0.10600301
PA1 1UT,PA1 1UT,55.844162,-4.4224548
G4 0QR,G4 0QR,55.860649,-4.2396691
NP16 6AR,NP16 6AR,51.660681,-2.8057797
BA21 4EE,BA21 4EE,50.945838,-2.630242
CH46 1PG,CH46 1PG,53.414577,-3.0930217
ME14 5FA,ME14 5FA,51.27356,0.53114109
PA1 1YP,PA1 1YP,55.841045,-4.4246568
NE4 9PY,NE4 9PY,54.975697,-1.6531431
L21 8JU,L21 8JU,53.46193,-2.9964532
RM9 5JB,RM9 5JB,51.550183,0.14001023
SW15 2BF,SW15 2BF,,
SO50 4RW,SO50 4RW,50.984077,-1.3615736
TS1 3QW,TS1 3QW,54.570257,-1.2383941
LS15 4LG,LS15 4LG,53.789389,-1.4171293
CV2 2JL,CV2 2JL,52.417466,-1.4412003
SW15 2BF,SW15 2BF,,
DT4 0EA,DT4 0EA,50.618407,-2.467765
IP33 2PD,IP33 2PD,52.22801,0.72213333
CH3 5AR,CH3 5AR,53.191676,-2.8785927
W1F 8GG,W1F 8GG,51.515237,-0.13602179
PE13 4NF,PE13 4NF,52.682249,0.10931828
DA1 5UG,DA1 5UG,,
PR6 9AF,PR6 9AF,53.667772,-2.6212247
SW15 2BF,SW15 2BF,,
EH22 3FQ,EH22 3FQ,,
EC1V 2NX,EC1V 2NX,51.527269,-0.089123626
KT12 2SD,KT12 2SD,51.390889,-0.41207403
CO2 7GS,CO2 7GS,,
NN15 5ND,NN15 5ND,52.369163,-0.67355232
CM1 6JH,CM1 6JH,51.746018,0.49337908
B67 5BD,B67 5BD,52.474682,-1.9717924
SN12 8RF,SN12 8RF,51.397448,-2.1754422
SE18 5RU,SE18 5RU,51.490601,0.059429719
SM1 1BB,SM1 1BB,51.360114,-0.19224043
SN3 1LE,SN3 1LE,51.546595,-1.760868
NE28 0HJ,NE28 0HJ,55.005646,-1.4957419
BT61 9DT,BT61 9DT,,
MK8 0NG,MK8 0NG,52.022972,-0.80621287
CR7 6DZ,CR7 6DZ,51.394521,-0.11860875
SL6 1LJ,SL6 1LJ,51.522381,-0.72101431
KT12 4QU,KT12 4QU,51.375149,-0.39145434
BN7 1ET,BN7 1ET,50.870532,-0.00491921
W8 5HN,W8 5HN,51.499883,-0.19090799
S2 1AS,S2 1AS,53.370862,-1.4172497
W14 0HZ,W14 0HZ,51.497658,-0.22006939
WA15 9EJ,WA15 9EJ,53.383792,-2.3452632
CV2 1DY,CV2 1DY,,
PO34 5BU,PO34 5BU,50.710137,-1.1069253
CF63 2AJ,CF63 2AJ,51.41742,-3.2464901
SE18 2PY,SE18 2PY,51.475659,0.082618376
BA12 9BT,BA12 9BT,51.205313,-2.1800493
CB11 3RF,CB11 3RF,51.986004,0.21446751
PO34 5BU,PO34 5BU,50.710137,-1.1069253
BN44 3AA,BN44 3AA,50.905653,-0.33112594
BN44 3AA,BN44 3AA,50.905653,-0.33112594
SS7 4EF,SS7 4EF,51.572895,0.55131906
NW1 3ER,NW1 3ER,51.526972,-0.13943497
FY4 5GU,FY4 5GU,53.787918,-2.9912926
M11 3UA,M11 3UA,53.475045,-2.2036725
LE4 0SG,LE4 0SG,52.662351,-1.1515536
B61 7JH,B61 7JH,52.332687,-2.064482
BD23 3BU,BD23 3BU,53.940609,-2.0335842
CB10 1AF,CB10 1AF,52.022583,0.23882335
LS16 5LW,LS16 5LW,53.833327,-1.5923227
N1 7GU,N1 7GU,,
BD17 7TD,BD17 7TD,,
SS0 7JW,SS0 7JW,51.540315,0.69782923
SE1 6EE,SE1 6EE,51.493041,-0.099472482
DT1 3QY,DT1 3QY,50.712327,-2.470286
B16 6EA,B16 6EA,,
CV3 5NY,CV3 5NY,52.382455,-1.5008207
OL9 9BA,OL9 9BA,53.539637,-2.1409551
SS9 1PE,SS9 1PE,51.541806,0.65734581
BD2 4EA,BD2 4EA,53.815712,-1.7424169
BD23 2QR,BD23 2QR,53.945709,-2.0167684
ME8 7EG,ME8 7EG,51.367104,0.59720172
PR4 6SN,PR4 6SN,53.698013,-2.8387144
HP18 9BB,HP18 9BB,51.766545,-0.98065449
BD23 2JE,BD23 2JE,53.960898,-2.0144123
SK12 1JA,SK12 1JA,53.345482,-2.1276054
BS8 3EU,BS8 3EU,51.464336,-2.6185182
OL4 1QP,OL4 1QP,53.536251,-2.0921795
BS8 1RU,BS8 1RU,51.458306,-2.6110961
CA14 1WD,CA14 1WD,54.644386,-3.466187
TN3 9SS,TN3 9SS,51.130587,0.20278186
LL18 5HP,LL18 5HP,53.298331,-3.5096538
NW4 2PN,NW4 2PN,51.581905,-0.21930531
WV11 1SL,WV11 1SL,52.602071,-2.0928139
PA4 8WF,PA4 8WF,55.871789,-4.3671224
RH2 9DN,RH2 9DN,51.242354,-0.21625986
G4 0JY,G4 0JY,55.869451,-4.2518123
LS25 1HB,LS25 1HB,53.792306,-1.3874272
W1G 8QN,W1G 8QN,51.519818,-0.14762548
HA1 1UD,HA1 1UD,51.588339,-0.34112079
EX23 8QN,EX23 8QN,50.820874,-4.5310085
CF64 2DU,CF64 2DU,,
IG3 9NR,IG3 9NR,51.565098,0.11045301
IG3 9NR,IG3 9NR,51.565098,0.11045301
W5 4DJ,W5 4DJ,51.495102,-0.31422631
N13 4XE,N13 4XE,51.616307,-0.10984105
DH3 3DH,DH3 3DH,54.852691,-1.5762907
NW10 7LQ,NW10 7LQ,51.526688,-0.26584754
AL7 2PN,AL7 2PN,51.799834,-0.162857
LU3 3LN,LU3 3LN,51.913371,-0.45817776
E16 3LN,E16 3LN,51.517878,0.037136612
CO3 9ST,CO3 9ST,51.894081,0.84628132
BD9 5HH,BD9 5HH,53.806523,-1.7913837
TW15 3QN,TW15 3QN,51.4321,-0.47292254
RG14 5QG,RG14 5QG,51.400308,-1.3148437
DE1 1FL,DE1 1FL,52.924312,-1.4876232
NG1 4JA,NG1 4JA,52.961872,-1.1581345
WD23 2PH,WD23 2PH,51.648156,-0.37922272
HX7 6AD,HX7 6AD,53.741495,-2.0159125
B79 7JS,B79 7JS,52.636286,-1.6900783
E15 1QW,E15 1QW,51.546313,0.001613958
ME2 4FX,ME2 4FX,51.389777,0.51941073
NP11 7DU,NP11 7DU,51.628881,-3.1284336
RH2 0TA,RH2 0TA,51.263957,-0.17094594
SO21 1WP,SO21 1WP,50.993119,-1.3116071
UB11 1FW,UB11 1FW,51.508843,-0.43705643
KY11 8TF,KY11 8TF,56.050675,-3.4177986
BD14 6ND,BD14 6ND,53.779063,-1.8177421
RM1 3PJ,RM1 3PJ,51.57581,0.1855359
AL9 7BD,AL9 7BD,51.729316,-0.18237039
N14 4TA,N14 4TA,51.643592,-0.12061613
CF11 9LJ,CF11 9LJ,51.483275,-3.1904628
BS6 6YE,BS6 6YE,51.472238,-2.6085467
L22 4QQ,L22 4QQ,53.480114,-3.0231592
EC3R 8LJ,EC3R 8LJ,51.509608,-0.085280014
NN10 6DJ,NN10 6DJ,52.300372,-0.59173667
HX3 6AS,HX3 6AS,53.729798,-1.8490424
B14 6DE,B14 6DE,52.424913,-1.8927217
ST16 1DA,ST16 1DA,52.799961,-2.1295889
TS22 5FA,TS22 5FA,,
FK8 1AL,FK8 1AL,56.118713,-3.9388618
PE15 8HP,PE15 8HP,52.552644,0.088197896
EX2 5JL,EX2 5JL,50.708225,-3.4896814
CB5 8EP,CB5 8EP,52.208158,0.13488353
B32 3JY,B32 3JY,52.435165,-1.995352
NR1 1ES,NR1 1ES,52.625219,1.3138865
M1 3BE,M1 3BE,53.480507,-2.2347393
NW3 5JJ,NW3 5JJ,51.5463,-0.17861122
LS1 2JG,LS1 2JG,53.797902,-1.55125
B16 8SP,B16 8SP,52.47306,-1.9228288
M43 6JJ,M43 6JJ,53.48311,-2.1675452
GU35 0PN,GU35 0PN,51.117499,-0.8447529
HP1 1FW,HP1 1FW,51.745875,-0.47482317
SW1Y 4LB,SW1Y 4LB,51.507773,-0.1366146
GU34 2PP,GU34 2PP,51.148448,-0.96448984
BN1 6AF,BN1 6AF,50.836141,-0.14338277
SE5 9RS,SE5 9RS,51.468357,-0.092305953
WC1A 2TA,WC1A 2TA,51.518215,-0.12314414
N17 8DP,N17 8DP,51.605555,-0.070790505
HP15 6AT,HP15 6AT,51.664075,-0.72110636
EC2A 3JX,EC2A 3JX,51.522266,-0.08118862
CM15 9DN,CM15 9DN,51.623588,0.3054364
HA4 8JN,HA4 8JN,51.573529,-0.42327998
IP31 2AR,IP31 2AR,52.316889,0.91045894
GU1 1UN,GU1 1UN,51.241248,-0.56262918
HU5 4DS,HU5 4DS,53.760355,-0.37514052
BD3 8HA,BD3 8HA,53.798753,-1.7151322
DE22 3FS,DE22 3FS,52.926106,-1.494995
OX7 3PX,OX7 3PX,51.872721,-1.4852603
HA1 2RW,HA1 2RW,51.587484,-0.32714979
AL9 5NB,AL9 5NB,51.762812,-0.21116729
RM6 4DE,RM6 4DE,51.57305,0.11930704
G51 4TF,G51 4TF,55.863978,-4.3375751
CR2 0AA,CR2 0AA,51.347927,-0.089571656
B15 3RB,B15 3RB,52.461774,-1.9316792
AL3 4PA,AL3 4PA,51.752681,-0.34193003
WA14 2DT,WA14 2DT,53.383888,-2.3521196
M6 6BD,M6 6BD,53.495961,-2.2754032
SW19 3HU,SW19 3HU,51.41231,-0.20884774
WV3 9BJ,WV3 9BJ,52.576806,-2.1559035
RM18 7BD,RM18 7BD,51.464136,0.35680799
OX16 9PR,OX16 9PR,52.05843,-1.3413169
BN27 4NN,BN27 4NN,50.89012,0.32135414
DL10 4PL,DL10 4PL,54.409127,-1.7283623
TQ12 2JS,TQ12 2JS,50.529622,-3.6094822
DN14 6AA,DN14 6AA,53.70466,-0.87603808
KT4 8BY,KT4 8BY,51.385654,-0.24134847
LN6 8NH,LN6 8NH,53.183116,-0.58702519
CR4 1EN,CR4 1EN,51.40402,-0.13908091
OX15 5NH,OX15 5NH,51.994968,-1.4847342
RH1 3EP,RH1 3EP,51.257644,-0.15091691
RH12 1NU,RH12 1NU,51.062289,-0.33012381
SW15 2BF,SW15 2BF,,
ME15 6AQ,ME15 6AQ,51.260709,0.526923
N7 0PG,N7 0PG,51.558086,-0.12192152
PR6 0LP,PR6 0LP,53.645837,-2.6183758
M24 5RY,M24 5RY,53.562572,-2.2155522
CW9 7DA,CW9 7DA,53.257435,-2.4895703
CW9 7DA,CW9 7DA,53.257435,-2.4895703
MK6 4JT,MK6 4JT,52.024522,-0.7300033
NN12 7QL,NN12 7QL,52.078212,-0.89076137
HP2 7BF,HP2 7BF,51.764796,-0.43465279
BB5 1SX,BB5 1SX,53.754271,-2.3760351
RM12 4TY,RM12 4TY,51.563312,0.20174578
HP2 7BF,HP2 7BF,51.764796,-0.43465279
KT23 4HR,KT23 4HR,51.266194,-0.39260923
