Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
EH16 4TJ,EH16 4TJ,NT 28916 70467,328916,670467,55.922009,-3.1390343
EH26 0BB,EH26 0BB,NT 24579 63560,324579,663560,55.859303,-3.2064893
EH33 1EH,EH33 1EH,NT 46126 73929,346126,673929,55.95535,-2.8643799
PA37 1SZ,PA37 1SZ,postcode not found,,,,
EH14 4AP,EH14 4AP,NT 17740 69744,317740,669744,55.913731,-3.3175984
EH26 0PZ,EH26 0PZ,NT 25275 63332,325275,663332,55.857364,-3.19531
EH25 9PP,EH25 9PP,NT 27038 63823,327038,663823,55.862045,-3.1672848
G75 0QD,G75 0QD,NS 64202 53613,264202,653613,55.756763,-4.1654948
FK9 4NF,FK9 4NF,NS 80958 96037,280958,696037,56.142134,-3.9174101
G12 8QQ,G12 8QQ,NS 56916 66655,256916,666655,55.871751,-4.2883598
G20 0SP,G20 0SP,NS 55511 69976,255511,669976,55.901147,-4.3125674
